link,gender,height,weight,firstAppearance,firstAppearanceDate,yearFirstAppeared,heightInInches,weightInPounds,name,universe,publisher,weightCategory,appearanceRaw,appearances,minorAppearances,picLink,superName,fullName,nickName
http://marvel.wikia.com/wiki/Dafydd_ap_Andras_(Earth-6124),Male,"6' 1""",0 lbs (0 kg) (formerly 170 lbs),"X-Factor Vol 3  #2(February, 2006)","February, 2006",2006,73,0,Dafydd ap Andras,Earth-6124,Marvel,under,"[' 17 Appearances of Dafydd ap Andras (Earth-6124)\n', '  Minor Appearances of Dafydd ap Andras (Earth-6124)\n']",17,0,https://vignette.wikia.nocookie.net/marveldatabase/images/b/b9/Dafydd_ap_Andras_%28Earth-616%29_001.png/revision/latest?cb=20111224222255,Damian Tryp,Dafydd ap Andras,
http://marvel.wikia.com/wiki/Helio_(Earth-616),Male,"6' 1""",0 lbs (0 kg),"Marvel Two-In-One  #71(January, 1981)","January, 1981",1981,73,0,Helio,Earth-616,Marvel,under,"[' 13 Appearances of Helio (Earth-616)\n', '  Minor Appearances of Helio (Earth-616)\n']",13,0,https://vignette.wikia.nocookie.net/marveldatabase/images/f/f0/Helio_%28Earth-616%29_from_Quasar_Vol_1_25_0001.jpg/revision/latest?cb=20180617163815,Helio,Unknown,
http://marvel.wikia.com/wiki/Modulus_(Earth-616),Male,"6' 1"" (Variable)",0 lbs (0 kg),"Fantastic Four Vol 3  #62(December, 2002)","December, 2002",2002,73,0,Modulus,Earth-616,Marvel,under,"[' 7 Appearances of Modulus (Earth-616)\n', '  Minor Appearances of Modulus (Earth-616)\n']",7,0,https://vignette.wikia.nocookie.net/marveldatabase/images/c/c9/Modulus_%28Earth-616%29_from_All-New_Official_Handbook_of_the_Marvel_Universe_Vol_1_7_0001.jpg/revision/latest?cb=20161012140222,Modulus,Modulus,
http://marvel.wikia.com/wiki/Awesome_Android_(Earth-13584),Male,"15' 1"" (Variable)",1 lbs (0 kg) (Variable),"Dark Avengers  #185(March, 2013)","March, 2013",2013,61,1,Awesome Android,Earth-13584,Marvel,under,"[' 2 Appearances of Awesome Android (Earth-13584)\n', '  Minor Appearances of Awesome Android (Earth-13584)\n']",2,0,https://vignette.wikia.nocookie.net/marveldatabase/images/1/13/Awesome_Android_%28Earth-13584%29_from_Dark_Avengers_Vol_1_190_0001.jpg/revision/latest?cb=20131007004644,Android Delta,Android Delta,
http://marvel.wikia.com/wiki/Big_Mother_(Earth-616),Female,"16' 0"" (variable)",1 lbs (0 kg) (variable),"Captain Marvel Vol 4  #20(August, 2001)","August, 2001",2001,72,1,Big Mother,Earth-616,Marvel,under,"[' 5 Appearances of Big Mother (Earth-616)\n', '  Minor Appearances of Big Mother (Earth-616)\n']",5,0,https://vignette.wikia.nocookie.net/marveldatabase/images/a/a5/Big_Mother_%28Earth-616%29_from_Official_Handbook_of_the_Marvel_Universe_Horror_2005_Vol_1_1_001.png/revision/latest?cb=20170515150504,Big Mother,Unknown,
http://marvel.wikia.com/wiki/Lockjaw_(Earth-61112),Male,"5' 0"" (at shoulder) Length: 6'8"" (from muzzle to hock) ",1 lbs (0 kg),"Age of Ultron  #2(May, 2013)","May, 2013",2013,60,1,Lockjaw,Earth-61112,Marvel,under,"['  Appearances of Lockjaw (Earth-61112)\n', ' 2 Minor Appearances of Lockjaw (Earth-61112)\n']",0,2,https://vignette.wikia.nocookie.net/marveldatabase/images/1/1f/Lockjaw_%28Earth-61112%29.jpg/revision/latest?cb=20130710131544,Lockjaw,Unknown,
http://marvel.wikia.com/wiki/Abigail_Boylen_(Earth-616),Female,"5' 5""",100 lbs (45 kg),"Civil War Battle Damage Report  #1(May, 2007) (Cameo)Avengers: The Initiative  #1(June, 2007)(First full appearance)","June, 2007",2007,65,100,Abigail Boylen,Earth-616,Marvel,under,"[' 44 Appearances of Abigail Boylen (Earth-616)\n', ' 1 Minor Appearances of Abigail Boylen (Earth-616)\n']",44,1,https://vignette.wikia.nocookie.net/marveldatabase/images/9/98/Abigail_Boylen_%28Earth-616%29_from_Fear_Itself_Youth_in_Revolt_Vol_1_2_0001.png/revision/latest?cb=20110615193901,Cloud 9,"Abigail ""Abby"" Boylen",Abby Boylen
http://marvel.wikia.com/wiki/Allene_Green_(Earth-616),Female,"5' 3""",100 lbs (45 kg),"Unbeatable Squirrel Girl Beats Up the Marvel Universe!  #1(December, 2016)","December, 2016",2016,63,100,Allene Green,Earth-616,Marvel,under,"[' 1 Appearances of Allene Green (Earth-616)\n', '  Minor Appearances of Allene Green (Earth-616)\n']",1,0,https://vignette.wikia.nocookie.net/marveldatabase/images/2/27/Allene_Green_%28Earth-616%29_from_Unbeatable_Squirrel_Girl_Beats_Up_the_Marvel_Universe%21_Vol_1_1_001.jpg/revision/latest?cb=20170828014722,Squirrel Girl,Allene Green,
http://marvel.wikia.com/wiki/Arthur_Centino_(Earth-1610),Male,"5' 9""",100 lbs (45 kg),"Ultimate X-Men  #54(February, 2005)","February, 2005",2005,69,100,Arthur Centino,Earth-1610,Marvel,under,"[' 10 Appearances of Arthur Centino (Earth-1610)\n', '  Minor Appearances of Arthur Centino (Earth-1610)\n']",10,0,https://vignette.wikia.nocookie.net/marveldatabase/images/6/69/Ultimate_X-Men_Vol_1_55_Textless.jpg/revision/latest?cb=20061025150629,Longshot,Arthur Centino,
http://marvel.wikia.com/wiki/Avia_(Savage_Land)_(Earth-616),Female,"6' 3""",100 lbs (45 kg),"X-Men: The Hidden Years  #2(January, 2000)","January, 2000",2000,75,100,Avia (Savage Land),Earth-616,Marvel,under,"[' 13 Appearances of Avia (Savage Land) (Earth-616)\n', '  Minor Appearances of Avia (Savage Land) (Earth-616)\n']",13,0,https://vignette.wikia.nocookie.net/marveldatabase/images/5/56/Avia_%28Savage_Land%29_%28Earth-616%29_from_X-Men_The_Hidden_Years_Vol_1_4_003.jpg/revision/latest?cb=20170808012106,Avia,Avia,
